Operator Precedence in Joos 1
=============================

Precedence  Associativity  Operators              Purpose
1           right          =                      assignment
2           left           ||                     conditional or
3           left           &&                     conditional and
4           left           |                      bitwise or
5           left           ^                      bitwise xor
6           left           &                      bitwise and
7           left           == !=                  equality
8           left           < > <= >= instanceof   relational, type comparison
9           left           + -                    additive
10          left           * / %                  multiplicative
11                         - !                    unary
